Id,Gloss,start_ms,end_ms,EAF,Participant,SourceVideo,SampleVideo
0,TRABAJO,1120,1740,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_0.mp4
1,TRABAJO,3850,4280,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_1.mp4
2,TRABAJO-C,4360,4620,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_2.mp4
3,IX1,4790,5020,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_3.mp4
4,PELUQUERA,5070,5530,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_4.mp4
8,NO,12535,12875,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_8.mp4
9,IX1-5,13100,13200,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_9.mp4
12,EDAD,14970,15170,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_12.mp4
13,QUINCE ,15220,15910,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_13.mp4
14,IX1,15955,16065,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_14.mp4
15,IR,16150,16540,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_15.mp4
16,APRENDER,16605,18045,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_16.mp4
18,IX1,19615,19755,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_18.mp4
19,GUSTAR,19795,20050,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_19.mp4
20,NO,20066,20609,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_20.mp4
22,GUSTAR,21900,22187,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_22.mp4
23,NO,22213,22900,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_23.mp4
27,ANTES,28030,28380,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_27.mp4
28,IX,28415,28515,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_28.mp4
30,DIFERENTE,29010,29230,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_30.mp4
31,SIGNAR,29250,29610,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_31.mp4
33,IX1,31220,31400,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_33.mp4
34,NO,31450,31770,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_34.mp4
37,HORRIBLE,33850,34280,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_37.mp4
38,IX1,34455,34635,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_38.mp4
39,PELUQUERA,34695,34965,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_39.mp4
40,IX3,35050,35160,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_40.mp4
42,IX2,35515,35555,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_42.mp4
43,PELUQUERA,35595,35955,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_43.mp4
44,IX1,36039,36218,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_44.mp4
45,PELUQUERA,36325,36695,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_45.mp4
46,IX1,36730,36840,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_46.mp4
47,PADRE-2,37115,37465,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_47.mp4
49,QUERER,38053,38210,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_49.mp4
51,IX1,38765,38815,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_51.mp4
