Gloss,Count
IX1,326
IX3,75
SIGNAR,73
SORDO,65
NO,52
COLEGIO,52
IXloc ,42
UNO,30
IGUAL,30
FIN,30
MUCHO,27
COMUNICAR,26
TODO,26
PROFESOR,26
IX1-5,25
YA,25
APRENDER,24
IDENTIDAD,22
ANTES,21
IX,21
PADRE-2,21
SORDA,21
AHORA,21
HABER-NO,20
CAMPO,20
HASTA,20
POCO,20
OYENTE,18
BIEN,18
IX ,18
AÑO ,16
PROBLEMA,16
PROHIBIR,16
HIJO,16
CULTURAL,16
1PREGUNTAR3,16
3RESPONDER1,16
IXloc,15
SABER,15
IX3-6,15
PASADO,15
HERMANO,14
PADRE_MADRE,14
MAYOR,14
BAJO-PEQUEÑO,14
OTRO-1,14
VER,14
"PU: ""claro""",14
CONOCER,14
QUERER,13
REGULAR,13
TRABAJO,12
NACER,12
PERFECTO,12
MONJA,12
LEER,12
POLITICA,12
FRANCO,12
POR-EJEMPLO,12
SOCIO,12
sn: FELIX PINEDO,12
cnm: NO,12
IX2,11
JOVEN,11
DECIR1,11
GUSTAR,10
VIVIR,10
ENTENDER-rep,10
CUIDAR,10
AVANZAR,10
PORQUE,10
RAPIDO,10
EXPLICAR,10
RELIGION,10
IX1-Q,10
VER-2,10
AGUANTAR,10
GAY,10
MARCHAR,10
DOS,10
FUERA,10
PRIMERO,10
HISTORIA,10
DIFICIL,10
ASOCIACION,10
sn: JUAN-LUIS-MARROQUIN,10
HORRIBLE,9
PROPIO,9
IX1-Bd,9
OTRO-2d,8
ULTIMO,8
CRECER,8
DESPLAZAR,8
TRABAJAR-C,8
TRABAJAR,8
dc: Y,8
LO-ESTABA,8
COSAS,8
PACIENCIA,8
MUJER,8
AMIGO,8
3OBLIGAR1,8
DECIR,8
IX1 ,8
SI,8
IX3pl,8
DECIR-1,8
NORMAL,8
"g ""me da igual""",8
FRANCIA,8
ASI,8
VIDA,8
GRACIAS,8
CASA,8
TODO-5,8
PRESIDENTE,8
FNSSE,8
"g ""no sé""",8
BARCELONA,8
EDAD,7
DIFERENTE,7
SEGURO,7
SIETE,7
LISTA-2,6
PUEBLO,6
VALENCIA,6
CERDO,6
AÑO,6
HABER,6
HERMANA,6
ENTENDER,6
MARCHAR ,6
IGUAL-O,6
FALTA,6
PENSAR,6
HABLAR,6
"PU: ""no puede hacer nada""",6
CULTIVAR,6
ALZIRA,6
CASARSE,6
LIBRO-REVISTA,6
POR-MOTIVO,6
CRECER-ALTURA,6
LEVANTAR-SE,6
DEVOTA,6
MISMO,6
PERSONA,6
AUTOCONOCIMIENTO,6
MARIDO,6
BASTANTE,6
HABER>NO,6
CINE,6
VER-1,6
DNI,6
TRES,6
SABER-NO,6
DENTRO,6
COMO,6
VERDAD,6
IGUAL-1,6
HOGAR,6
MADRE_PADRE,6
NADA-MAS,6
BIEN ,6
TRES-AÑO,6
cnm: SI,6
sn: ESTANISLAO,6
ESCULTOR,6
ARTE,6
SEGUIMIENTO,6
ESCRIBIR,6
TRAMPA,6
CONTACTO,6
TRABAJO-C,5
PELUQUERA,5
QUINCE ,5
IR,5
MADRE-2,5
YA-VEO,5
APROXIMADAMENTE,5
DINERO,5
