Id,Gloss,start_ms,end_ms,Participant,SourceVideo,SampleVideo,subset
0,TRABAJO,1120,1740,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_0.mp4,train
1,TRABAJO,3850,4280,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_1.mp4,train
3,IX1,4790,5020,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_3.mp4,train
8,NO,12535,12875,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_8.mp4,train
9,IX1-5,13100,13200,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_9.mp4,train
14,IX1,15955,16065,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_14.mp4,train
18,IX1,19615,19755,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_18.mp4,train
20,NO,20066,20609,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_20.mp4,train
23,NO,22213,22900,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_23.mp4,train
33,IX1,31220,31400,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_33.mp4,train
34,NO,31450,31770,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_34.mp4,train
38,IX1,34455,34635,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_38.mp4,train
40,IX3,35050,35160,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_40.mp4,train
42,IX2,35515,35555,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_42.mp4,train
44,IX1,36039,36218,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_44.mp4,train
46,IX1,36730,36840,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_46.mp4,train
49,QUERER,38053,38210,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_49.mp4,train
51,IX1,38765,38815,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_51.mp4,train
63,IX1,46060,46280,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_63.mp4,train
64,TRABAJO,46310,46710,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_64.mp4,train
67,TRABAJO,48310,48630,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_67.mp4,train
70,IXloc ,50080,50250,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_70.mp4,train
71,NO,50535,50625,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_71.mp4,train
73,IX2,51000,51120,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_73.mp4,train
74,NO,51160,51750,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_74.mp4,train
75,SORDO,51815,52115,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_75.mp4,train
76,NO,52175,52645,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_76.mp4,train
80,PROPIO,54910,55380,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_80.mp4,train
88,IX1,60470,60900,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_88.mp4,train
90,IXloc ,63420,63470,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_90.mp4,train
92,IXloc ,65130,65200,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_92.mp4,train
94,IXloc ,68220,68350,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_94.mp4,train
99,IX2,71188,71243,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_99.mp4,train
106,IX1,85854,86024,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_106.mp4,train
108,IX1,86489,86969,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_108.mp4,train
110,IX1-Bd,89325,89435,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_110.mp4,train
111,NO,89619,89779,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_111.mp4,train
