Id,Label,Participant,Video,Subset
2,2,S003,CNGT0004.eaf_2.mp4,train
3,121,S003,CNGT0004.eaf_3.mp4,train
5,2,S003,CNGT0004.eaf_5.mp4,train
6,1,S003,CNGT0004.eaf_6.mp4,train
7,1,S003,CNGT0004.eaf_7.mp4,train
8,18,S003,CNGT0004.eaf_8.mp4,train
9,2,S003,CNGT0004.eaf_9.mp4,train
10,2,S003,CNGT0004.eaf_10.mp4,train
11,396,S003,CNGT0004.eaf_11.mp4,train
13,171,S003,CNGT0004.eaf_13.mp4,train
14,22,S003,CNGT0004.eaf_14.mp4,train
16,141,S003,CNGT0004.eaf_16.mp4,train
17,2,S003,CNGT0004.eaf_17.mp4,train
18,35,S003,CNGT0004.eaf_18.mp4,train
19,0,S003,CNGT0004.eaf_19.mp4,train
20,50,S003,CNGT0004.eaf_20.mp4,train
21,396,S003,CNGT0004.eaf_21.mp4,train
22,171,S003,CNGT0004.eaf_22.mp4,train
24,136,S003,CNGT0004.eaf_24.mp4,train
25,2,S003,CNGT0004.eaf_25.mp4,train
26,171,S003,CNGT0004.eaf_26.mp4,train
28,171,S003,CNGT0004.eaf_28.mp4,train
30,96,S003,CNGT0004.eaf_30.mp4,train
31,18,S003,CNGT0004.eaf_31.mp4,train
34,171,S003,CNGT0004.eaf_34.mp4,train
35,24,S003,CNGT0004.eaf_35.mp4,train
36,0,S003,CNGT0004.eaf_36.mp4,train
37,319,S003,CNGT0004.eaf_37.mp4,train
42,0,S003,CNGT0004.eaf_42.mp4,train
43,22,S003,CNGT0004.eaf_43.mp4,train
44,141,S003,CNGT0004.eaf_44.mp4,train
45,136,S003,CNGT0004.eaf_45.mp4,train
46,26,S003,CNGT0004.eaf_46.mp4,train
47,30,S003,CNGT0004.eaf_47.mp4,train
48,0,S003,CNGT0004.eaf_48.mp4,train
49,271,S003,CNGT0004.eaf_49.mp4,train
53,0,S003,CNGT0004.eaf_53.mp4,train
54,271,S003,CNGT0004.eaf_54.mp4,train
56,136,S003,CNGT0004.eaf_56.mp4,train
60,288,S003,CNGT0004.eaf_60.mp4,train
61,22,S003,CNGT0004.eaf_61.mp4,train
62,35,S003,CNGT0004.eaf_62.mp4,train
63,0,S003,CNGT0004.eaf_63.mp4,train
65,0,S003,CNGT0004.eaf_65.mp4,train
66,2,S003,CNGT0004.eaf_66.mp4,train
67,194,S003,CNGT0004.eaf_67.mp4,train
68,0,S003,CNGT0004.eaf_68.mp4,train
70,0,S003,CNGT0004.eaf_70.mp4,train
71,0,S003,CNGT0004.eaf_71.mp4,train
73,0,S003,CNGT0004.eaf_73.mp4,train
75,2,S003,CNGT0004.eaf_75.mp4,train
77,2,S003,CNGT0004.eaf_77.mp4,train
78,63,S003,CNGT0004.eaf_78.mp4,train
80,2,S003,CNGT0004.eaf_80.mp4,train
83,271,S003,CNGT0004.eaf_83.mp4,train
84,1,S003,CNGT0004.eaf_84.mp4,train
85,298,S003,CNGT0004.eaf_85.mp4,train
86,298,S003,CNGT0004.eaf_86.mp4,train
87,36,S003,CNGT0004.eaf_87.mp4,train
88,324,S003,CNGT0004.eaf_88.mp4,train
90,293,S003,CNGT0004.eaf_90.mp4,train
91,2,S003,CNGT0004.eaf_91.mp4,train
92,171,S003,CNGT0004.eaf_92.mp4,train
93,22,S003,CNGT0004.eaf_93.mp4,train
95,141,S003,CNGT0004.eaf_95.mp4,train
96,1,S003,CNGT0004.eaf_96.mp4,train
98,2,S003,CNGT0004.eaf_98.mp4,train
100,141,S003,CNGT0004.eaf_100.mp4,train
102,141,S003,CNGT0004.eaf_102.mp4,train
103,50,S003,CNGT0004.eaf_103.mp4,train
107,31,S003,CNGT0004.eaf_107.mp4,train
108,328,S003,CNGT0004.eaf_108.mp4,train
110,194,S003,CNGT0004.eaf_110.mp4,train
113,89,S003,CNGT0004.eaf_113.mp4,train
114,13,S003,CNGT0004.eaf_114.mp4,train
115,68,S003,CNGT0004.eaf_115.mp4,train
116,13,S003,CNGT0004.eaf_116.mp4,train
119,68,S003,CNGT0004.eaf_119.mp4,train
125,130,S003,CNGT0004.eaf_125.mp4,train
126,89,S003,CNGT0004.eaf_126.mp4,train
127,13,S003,CNGT0004.eaf_127.mp4,train
128,69,S003,CNGT0004.eaf_128.mp4,train
129,0,S003,CNGT0004.eaf_129.mp4,train
130,74,S003,CNGT0004.eaf_130.mp4,train
131,0,S003,CNGT0004.eaf_131.mp4,train
133,0,S003,CNGT0004.eaf_133.mp4,train
134,92,S003,CNGT0004.eaf_134.mp4,train
135,92,S003,CNGT0004.eaf_135.mp4,train
136,1,S003,CNGT0004.eaf_136.mp4,train
138,240,S003,CNGT0004.eaf_138.mp4,train
139,0,S003,CNGT0004.eaf_139.mp4,train
141,0,S003,CNGT0004.eaf_141.mp4,train
