Gloss,Count
PT-1hand,8787
PO,7577
PT-1hand:1,5872
GEBAREN-A,1339
JA-A,937
KUNNEN-A,732
ATTENTIE,730
PO+PT,707
GOED-A,695
WETEN-A,646
HOREN-A,635
ZELFDE-A,594
ZIEN-A,544
HEE,539
ZEGGEN,521
NIET-A,504
ZELF-A,463
1-A,435
MOETEN-A,433
DOOF-A,431
NU-A,395
KIJKEN-A,390
GAAN-NAAR-A,383
TWIJFEL-A,369
HEBBEN-A,369
DOOF-B,369
LAAT-MAAR,362
GEHANDICAPT-A,357
VROEGER-A,344
DOOF-C,342
DAN-A,339
AL,325
OOK-A,298
BEDOELEN,291
OMDAT-A,280
RUIMTE-A,276
KLAAR-A,271
BLIJVEN,270
OF,270
PRATEN-A,265
PV,262
NIET-B,241
GROEP-A,241
TOCH-A,240
KRACHT,240
MEER-A,237
BINNEN,234
SAMEN-A,230
ZO,227
BEGRIJPEN,215
VAN-A,215
CI-A,214
NIET-C,207
LEUK-A,207
WERKEN-A,205
HAND-OP-BORST,204
2-A,203
MOOI-A,202
PT-Bhand:1,198
GEWOON-A,197
AANWEZIG,193
HOE-B,191
TAAL-B,190
MEE,189
GRONINGEN,188
STEL-A,186
PERSOON-A,186
KIND-A,185
WAT-A,183
ONDERWIJS-A,181
BETER,176
KOMEN-A:1,175
PLUS-A,175
PAKKEN-A,173
SCHOOL-A,171
DOEN-A,171
LOPEND-VOORTBEWEGEN-A,171
MOEILIJK-A,169
ANDERS-B,168
ANDERS-A,166
LEREN-A,158
WILLEN-A,157
TWEEEN-A,155
ONTWIKKELEN-A,151
VINDEN-A,144
PRATEN-B,141
COMMUNICEREN,141
TAAL-A,141
VEEL-A,141
ERG-A,138
MENS,136
BETEKENEN-A,134
GROOT-VERTICAAL-F,133
GEBAREN-C,133
ZELFDE-B,131
KLOPT-A,131
ALTIJD,128
BIJ-A,127
NIEUW-B,124
VERTELLEN,123
VRAGEN-A,123
VRIEND-A,117
IN-A,116
KLEIN-VERTICAAL-F,116
VOGEL-A,116
OPNEMEN-A,116
ALLEMAAL-A,115
GEBOREN-A,114
DAN-B,114
BIJVOORBEELD-B,114
1.ORD,109
ALLES-A,108
WIJ,108
CONTACT-MAKEN,108
OK,107
MAN-A,106
NEDERLAND-A,106
VOLGEN,106
NEE-B,106
HELPEN-A,106
ORAAL-A,105
NETJES-B,105
VERSCHIL-A,103
WEL,102
OVERNEMEN,102
PRETTIG-A,102
KLEIN-HORIZONTAAL-A,102
KIND.PL,102
MAKKELIJK,101
LOGOPEDIE-A,100
ECHT-A,99
EVEN-DENKEN-C,98
VERSCHILLENDE-A,97
ROEPEN-A,97
GRAAG-A,97
SOMS-A,95
LOPEN-D,95
WAT-B,94
EERLIJK-B,93
TOLK,91
PRIMA,91
OUDER-B,90
NIEUW-A,89
TERUG,89
WERELD-A,88
PROBLEEM-A,88
TOCH-B,88
AMSTERDAM,87
WOORD-A,86
OUD-A,86
KIEZEN,86
TIJD-A,85
NIKS-A,84
WEGGAAN-A,84
WAAROM,84
AANHALINGSTEKENS,84
KIND-VAN,83
JONG-A,83
MAAKT-NIET-UIT,83
AFWEGEN,82
WEG-B,81
BLIJKEN,81
WEG-C,80
GEHOORAPPARAAT-A,80
PROBEREN-A,78
VEEL-B,78
BIJ-B,78
ENZOVOORTS-A,78
VEEL-LATER,78
POES-A,74
STEM-A,73
FIETSEN,73
DOOF-D,72
SENSEO-A,72
GELD,72
OM,71
HOP,71
LESGEVEN,71
GEBRUIKEN-C,69
KENNEN,69
ONTMOETEN-A,69
VOELEN-B,68
GEVOLG,68
WAAR-A,68
TOEKOMST-A,68
GEBRUIKEN-A,68
VINGERSPELLEN,68
GRAPPIG-A,68
AANPASSEN,67
VOOR-D,66
KEER,66
AAN-JOU,65
VANDAAR-A,65
KOMEN-A,65
SNEL-A,64
RUSTIG,64
VERANDEREN-B,63
3-B,63
EVEN-WACHTEN,62
ALS-C,62
GROEP-C,62
RELATIE-A,62
VERHAAL,62
VROUW-A,61
LUISTEREN,61
GOED-B,61
LOGISCH,61
DOOR-A,61
NU-B,60
EIGEN-B,60
BEGINNEN-A,60
IDEE,59
SENSEO-B,59
BINNEN-A,58
AANDACHT-A,58
KOMEN-B,58
CULTUUR,58
SCHRIJVEN-D,58
KLEIN-A,58
KLOPT-B,58
AAP,58
VERSTAND,57
VERGETEN-A,57
VERANDEREN-A,57
LOPEN-E,57
GEVOEL-A,56
AAN-DEZE-KANT-A,56
REGIO-A,56
ETEN-A,56
WETEN-B,56
THUIS-A,55
OVER-A,55
WEG-A,55
NADENKEN-A,55
SLAPEN-A,55
KRIJGEN-B,55
DUIDELIJK-A,55
GEHANDICAPT-B,55
KAPOT,54
BIJVOORBEELD-A,54
NOG-NIET,54
HUIS-A,53
MOGEN-A,53
VOOR-A,52
APART-A,52
GEBEUREN-A,52
VERDWIJNEN-C,52
PAS-A,52
DISCUSSIEREN,52
DRINKEN-A,51
VERSCHILLENDE-B,51
MEE-EENS-A,51
ACCEPTEREN-A,51
LEVEN-B,51
REGELS-A,51
EIGEN-A,51
ZIEN-B,50
REGIO-B,50
4-A,50
ZWANGER-A,50
LEKKER-A,50
ZOEKEN-A,50
ERVARING-A,49
SCHRIJVEN-B,48
SPORT-A,48
WIE-A,47
ABORTUS-A,47
PANIEK-A,47
5,47
ALLEEN-B,47
HART-BONST-A,46
HOND-A,46
AUTORIJDEN,46
PB,46
BOT,46
OUD-B,46
OOR,46
VAN-B,46
COMPUTER-A,45
STAAN-F,45
OPSTUREN-B,45
