Id,Gloss,start_ms,end_ms,EAF,Participant,Signer,SourceVideo,SampleVideo
0,EERST-A,15850,16040,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_0.mp4
1,WG-1,16047,16216,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_1.mp4
4,SCHOOL-A,17957,18223,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_4.mp4
8,DOOF-A,19596,20452,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_8.mp4
11,SCHOOL-A,21206,21568,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_11.mp4
12,IN-A ,21577,22425,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_12.mp4
13,MAAR-A,22432,23400,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_13.mp4
14,VOLGENDE-A,23412,24166,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_14.mp4
16,DOOF-A,24408,24685,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_16.mp4
19,IN-A ,26706,27709,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_19.mp4
22,DOOF-A,28152,28569,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_22.mp4
23,WG-3,28574,28858,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_23.mp4
27,WG-3,29730,30417,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_27.mp4
28,AF-A,30431,30769,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_28.mp4
32,WG-3,32424,32844,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_32.mp4
33,ZEGGEN-A,32852,33081,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_33.mp4
35,WG-3,33501,33778,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_35.mp4
36,WG-3,33785,34248,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_36.mp4
39,GEBAREN-B,35236,35527,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_39.mp4
41,WG-1,36393,36675,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_41.mp4
42,VOLGENDE-A,36687,37256,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_42.mp4
46,GEBAREN-B,38088,38307,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_46.mp4
48,WG-1,38838,39614,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_48.mp4
51,GEBAREN-B,40412,40735,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_51.mp4
52,WG-1,40749,40927,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_52.mp4
54,HE-A,49203,49517,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_54.mp4
55,WG,49523,49752,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_55.mp4
56,ALS-WANG,49791,49953,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_56.mp4
58,WG-1,50598,50727,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_58.mp4
61,HOE-A,54006,54369,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_61.mp4
62,KOMEN-A,54374,54898,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_62.mp4
63,VAN-1,54905,55105,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_63.mp4
65,VAN-1,56372,56596,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_65.mp4
68,DOOF-A,58030,58506,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_68.mp4
69,WG,58513,58781,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_69.mp4
70,IN-A,58790,58996,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_70.mp4
71,SCHOOL-A,59007,59296,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_71.mp4
72,VAN-1,59310,59573,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_72.mp4
74,ALTIJD-A,60304,60521,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_74.mp4
76,VAN-1,61364,61687,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_76.mp4
78,PERSOON-B,62235,62636,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_78.mp4
80,DOOR-B,63147,63296,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_80.mp4
81,BEWAKEN-A,63299,64695,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_81.mp4
86,GEBAREN-B,67083,67281,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_86.mp4
87,VERWIJZEN-A,67292,67403,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_87.mp4
89,GEBAREN-B,67906,68232,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_89.mp4
94,VERBINDEN-A,128313,128837,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_94.mp4
96,WG-3,129214,129892,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_96.mp4
100,HEBBEN-A,132099,132738,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_100.mp4
104,VERBINDEN-A,135360,135917,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_104.mp4
106,NU-C,137280,137529,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_106.mp4
107,HEBBEN-A,137537,137811,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_107.mp4
108,ZEGGEN-A,137825,138053,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_108.mp4
110,WG-1,138433,138605,CVGT_01/CVGT_0102.eaf,i002,i1,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_110.mp4
115,WILLEN-A,42600,42720,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_115.mp4
116,ZEGGEN-A,42725,42956,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_116.mp4
117,ALLEEN-A,42965,43236,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_117.mp4
120,OOK-A,45083,45868,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_120.mp4
121,GEBAREN-B,45879,46252,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_121.mp4
124,GEBAREN-B,47215,48091,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_124.mp4
125,VAN-A,69521,69751,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_125.mp4
126,WG,69761,70183,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_126.mp4
129,WG,71221,71410,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_129.mp4
132,WG-2,72503,72672,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_132.mp4
134,WG-2,73074,73262,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_134.mp4
135,WG-1,75323,75757,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_135.mp4
136,WETEN-A,75761,76080,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_136.mp4
137,WG-1,76090,76300,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_137.mp4
138,BEGINNEN-A,76311,76558,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_138.mp4
141,SCHOOL-A,77005,77510,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_141.mp4
142,IN-A,77522,77773,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_142.mp4
143,DAN-A,77786,78154,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_143.mp4
147,ZO-A,79583,79878,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_147.mp4
148,DOOF-A,79884,80203,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_148.mp4
149,KIJKEN-B,80213,80594,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_149.mp4
150,MOETEN-A,80599,80894,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_150.mp4
152,GEBAREN-B,81202,81453,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_152.mp4
153,HEBBEN-A,81457,81887,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_153.mp4
154,MOETEN-A,81895,82210,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_154.mp4
156,OOK-A,83225,83416,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_156.mp4
157,VROEGER-A,83421,83585,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_157.mp4
159,DOOF-A,84024,84562,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_159.mp4
164,VAN-1,86916,87148,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_164.mp4
174,DOOF-A,96039,96332,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_174.mp4
177,ZELFDE-A,97085,97415,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_177.mp4
181,AF-A,100746,101041,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_181.mp4
182,DOOF-A,101054,101371,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_182.mp4
184,HE-A,101775,102081,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_184.mp4
185,WG-1,102086,102522,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_185.mp4
187,NIET-B,102857,103546,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_187.mp4
189,DOOF-A,104412,104702,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_189.mp4
190,AF-A,104715,105118,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_190.mp4
192,AF-A,105296,105440,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_192.mp4
195,VERANDEREN-A,106141,106573,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_195.mp4
197,AF-A,107165,107458,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_197.mp4
200,AF-A,109451,109664,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_200.mp4
202,ECHT-A ,110819,111267,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_202.mp4
203,VAN-1,111276,111515,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_203.mp4
205,NIET-C,111645,111822,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_205.mp4
208,ETEN-A,112756,113301,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_208.mp4
216,ETEN-A,116627,116782,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_216.mp4
218,C_ 1,117445,117769,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_218.mp4
220,GEBAREN-B,117970,118567,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_220.mp4
222,AF-A,118979,119458,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_222.mp4
223,VERANDEREN-A,119462,120090,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_223.mp4
227,WG-1,122669,123002,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_227.mp4
228,DENKEN-IK-A,123006,123385,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_228.mp4
229,ALLEMAAL-A,123394,123748,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_229.mp4
230,NU-A,123753,123835,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_230.mp4
231,VEEL-C,123842,124006,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_231.mp4
232,ALLEMAAL-A,124010,124251,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_232.mp4
234,GEBAREN-B,124726,124984,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_234.mp4
235,ZO-A,124993,125241,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_235.mp4
237,ALLEMAAL-A,125939,126047,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_237.mp4
238,ZEGGEN-A,126054,126203,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_238.mp4
241,WG,139172,139466,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_241.mp4
242,ECHT-A ,139473,139958,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_242.mp4
244,SWEEP,140248,140635,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_244.mp4
245,GEBAREN-B,140644,140879,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_245.mp4
246,VAN-1,140887,141265,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_246.mp4
247,WG-6,141279,141500,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_247.mp4
250,BEETJE-A,142850,143071,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_250.mp4
252,GEBAREN-B,143264,143531,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_252.mp4
253,HEBBEN-A,143551,143977,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_253.mp4
254,WG-6,143988,144490,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_254.mp4
257,VAN-1,145881,146113,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_257.mp4
260,IN-A,147241,147652,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_260.mp4
262,GEBAREN-B,148099,148891,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_262.mp4
