Id,Label,Participant,Video,Subset
0,22,i002,CVGT_0102.eaf_0.mp4,train
1,1,i002,CVGT_0102.eaf_1.mp4,train
4,246,i002,CVGT_0102.eaf_4.mp4,train
11,246,i002,CVGT_0102.eaf_11.mp4,train
12,83,i002,CVGT_0102.eaf_12.mp4,train
13,24,i002,CVGT_0102.eaf_13.mp4,train
14,204,i002,CVGT_0102.eaf_14.mp4,train
19,83,i002,CVGT_0102.eaf_19.mp4,train
23,0,i002,CVGT_0102.eaf_23.mp4,train
27,0,i002,CVGT_0102.eaf_27.mp4,train
28,3,i002,CVGT_0102.eaf_28.mp4,train
32,0,i002,CVGT_0102.eaf_32.mp4,train
33,18,i002,CVGT_0102.eaf_33.mp4,train
35,0,i002,CVGT_0102.eaf_35.mp4,train
36,0,i002,CVGT_0102.eaf_36.mp4,train
39,52,i002,CVGT_0102.eaf_39.mp4,train
41,1,i002,CVGT_0102.eaf_41.mp4,train
42,204,i002,CVGT_0102.eaf_42.mp4,train
46,52,i002,CVGT_0102.eaf_46.mp4,train
48,1,i002,CVGT_0102.eaf_48.mp4,train
51,52,i002,CVGT_0102.eaf_51.mp4,train
52,1,i002,CVGT_0102.eaf_52.mp4,train
54,26,i002,CVGT_0102.eaf_54.mp4,train
55,10,i002,CVGT_0102.eaf_55.mp4,train
56,113,i002,CVGT_0102.eaf_56.mp4,train
58,1,i002,CVGT_0102.eaf_58.mp4,train
62,195,i002,CVGT_0102.eaf_62.mp4,train
69,10,i002,CVGT_0102.eaf_69.mp4,train
70,27,i002,CVGT_0102.eaf_70.mp4,train
71,246,i002,CVGT_0102.eaf_71.mp4,train
74,128,i002,CVGT_0102.eaf_74.mp4,train
78,275,i002,CVGT_0102.eaf_78.mp4,train
80,233,i002,CVGT_0102.eaf_80.mp4,train
81,185,i002,CVGT_0102.eaf_81.mp4,train
86,52,i002,CVGT_0102.eaf_86.mp4,train
87,45,i002,CVGT_0102.eaf_87.mp4,train
89,52,i002,CVGT_0102.eaf_89.mp4,train
96,0,i002,CVGT_0102.eaf_96.mp4,train
100,4,i002,CVGT_0102.eaf_100.mp4,train
106,121,i002,CVGT_0102.eaf_106.mp4,train
107,4,i002,CVGT_0102.eaf_107.mp4,train
108,18,i002,CVGT_0102.eaf_108.mp4,train
110,1,i002,CVGT_0102.eaf_110.mp4,train
529,67,i002,CVGT_0105.eaf_529.mp4,train
530,268,i002,CVGT_0105.eaf_530.mp4,train
531,67,i002,CVGT_0105.eaf_531.mp4,train
533,13,i002,CVGT_0105.eaf_533.mp4,train
534,183,i002,CVGT_0105.eaf_534.mp4,train
535,12,i002,CVGT_0105.eaf_535.mp4,train
536,48,i002,CVGT_0105.eaf_536.mp4,train
538,55,i002,CVGT_0105.eaf_538.mp4,train
539,12,i002,CVGT_0105.eaf_539.mp4,train
540,48,i002,CVGT_0105.eaf_540.mp4,train
541,0,i002,CVGT_0105.eaf_541.mp4,train
547,184,i002,CVGT_0105.eaf_547.mp4,train
550,48,i002,CVGT_0105.eaf_550.mp4,train
553,75,i002,CVGT_0105.eaf_553.mp4,train
554,102,i002,CVGT_0105.eaf_554.mp4,train
555,10,i002,CVGT_0105.eaf_555.mp4,train
559,3,i002,CVGT_0105.eaf_559.mp4,train
566,8,i002,CVGT_0105.eaf_566.mp4,train
575,3,i002,CVGT_0105.eaf_575.mp4,train
576,4,i002,CVGT_0105.eaf_576.mp4,train
578,13,i002,CVGT_0105.eaf_578.mp4,train
580,10,i002,CVGT_0105.eaf_580.mp4,train
581,69,i002,CVGT_0105.eaf_581.mp4,train
582,51,i002,CVGT_0105.eaf_582.mp4,train
583,6,i002,CVGT_0105.eaf_583.mp4,train
584,127,i002,CVGT_0105.eaf_584.mp4,train
585,6,i002,CVGT_0105.eaf_585.mp4,train
586,127,i002,CVGT_0105.eaf_586.mp4,train
589,62,i002,CVGT_0105.eaf_589.mp4,train
591,12,i002,CVGT_0105.eaf_591.mp4,train
593,19,i002,CVGT_0105.eaf_593.mp4,train
596,50,i002,CVGT_0105.eaf_596.mp4,train
597,6,i002,CVGT_0105.eaf_597.mp4,train
