Id,Gloss,start_ms,end_ms,Participant,SourceVideo,SampleVideo,subset
0,EERST-A,15850,16040,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_0.mp4,train
1,WG-1,16047,16216,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_1.mp4,train
4,SCHOOL-A,17957,18223,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_4.mp4,train
11,SCHOOL-A,21206,21568,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_11.mp4,train
12,IN-A ,21577,22425,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_12.mp4,train
13,MAAR-A,22432,23400,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_13.mp4,train
14,VOLGENDE-A,23412,24166,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_14.mp4,train
19,IN-A ,26706,27709,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_19.mp4,train
23,WG-3,28574,28858,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_23.mp4,train
27,WG-3,29730,30417,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_27.mp4,train
28,AF-A,30431,30769,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_28.mp4,train
32,WG-3,32424,32844,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_32.mp4,train
33,ZEGGEN-A,32852,33081,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_33.mp4,train
35,WG-3,33501,33778,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_35.mp4,train
36,WG-3,33785,34248,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_36.mp4,train
39,GEBAREN-B,35236,35527,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_39.mp4,train
41,WG-1,36393,36675,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_41.mp4,train
42,VOLGENDE-A,36687,37256,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_42.mp4,train
46,GEBAREN-B,38088,38307,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_46.mp4,train
