Gloss,Count
WG-3,2595
WG-1,1827
WG-2,625
AF-A,581
HEBBEN-A,473
WAT-A,360
AUTO-RIJDEN-A,336
OOK-A,293
NAAR-A,287
MOETEN-A,277
WG,267
ZELFDE-A,266
C_ 1,256
GOED-A,243
HOND-A,233
HAAS-OOR,229
C_ 2,229
DAN-A,215
ZEGGEN-A,212
JONGEN-A,210
AANKOMEN-A,199
ZIEN-B,189
EERST-A,187
JA-A,184
MAAR-A,182
KIKKER-A,177
HE-A,177
IN-A,174
ZOEKEN-A,174
NIET-C,172
KOE-A,169
KIJKEN-B,165
SCHILDPAD-BHANDEN,161
ECHT-A,161
VOLGEN-A,161
NOG-A,150
OK-A,150
WG-6,145
VRIJ-A,140
DENKEN-A,136
MAN-VOORHOOFD,132
WAAR-A,131
KUNNEN-A,128
VOORT-A,128
WILLEN-B,126
VERWIJZEN-A,125
WETEN-A,122
WG-4,119
MAN-B0WANG,116
SCHILDPAD-BOPB,109
ROOD-A,106
OP-A,106
GEBAREN-B,105
SLAPEN-A,104
MAN-A,103
SWEEP,103
ZIEN-A,101
PAARD-A,98
MAN-PERSOON,95
NIET-A,94
GEEN-A,94
BEGINNEN-A,93
ZITTEN-A,93
NIETS-A,92
TANKEN-A,92
SAMEN-A,90
VOETBAL-A,88
KUNNEN-NIET-A,88
WILLEN-A,87
NU-A,86
PERSOON-A,86
MEE-A,85
WERKEN-A,84
AUTO-A,84
LATEN-A,83
GELD-A,83
VALLEN-A,81
IN-B,79
JUIST-A,79
VERDWIJNEN-A,78
VERTREKKEN-A,76
ENVELOPPE-VORM,76
SNEL-BKIN,76
IN-A ,75
PLUS-A,71
BOOM-5HAND,69
ALLEMAAL-A,69
KIJKEN-A,67
JUIST-A ,66
BINNEN-A,65
DAN-C,63
VINDEN-A,63
GOED-B,62
BIJNA-DUIM,61
MOOI-A,61
AVOND-D,60
FOUT-A,60
TOT-A,60
TRAAG-BHANDEN,57
ONGEVEER-A,55
VAN-A,55
WACHTEN-A,55
OPMERKEN-GOC,55
RECHTS,54
TERUG-A,54
WIE-A,54
LUI-C,53
BEETJE-A,53
ECHT-A ,53
ANDER-1HAND,53
WAKKER-A,52
BETER-A,52
MEER-A,51
ALS-WANG,51
RUSTEN-A,51
STAAN-VHAND,51
TELEFOON-YHAND,51
VOORBEELD-C,51
ONTMOETEN-A,50
HUIS-B,50
ANDER-1OP1,49
NU-C,49
GA-NAAR-A,49
WATER-1HAND,49
WEDDEN-A,49
VRIJDAG-A,49
NIET-B,47
GEEL-YHAND,47
ALTIJD-A,47
BEREID-A,46
KRUISPUNT ,46
VOGEL-B,46
OVER-A,45
ENVELOPPE-BOPB,45
ZONDAG-A,45
VOGEL-A,45
KLEIN-B,44
CAFE-A,44
KLEDEN-5HANDEN,44
NOG-A ,43
EERSTE,43
STRAAT,43
HE,43
TICKET-BCHANDEN,43
1-A,42
DAN-C ,42
MEISJE-C,42
WARM-VOORHOOFD,42
ZO-A,42
ETEN-A,40
LOPEN-A,40
BRIEF-B,40
VAST-A,40
IETS-A,40
VEEL-B,40
LAATSTE-B,39
VOOR-C,39
ONDER-BHANDEN,39
OF-A,39
AF-B,38
EN-A,38
2-A,38
OK,38
AF,38
DOOD-BOPBHAND,37
BLIJVEN-A,37
BETEKENEN-A,36
STRUIK-5HANDEN,36
OM-ACHT-UUR,36
DAN,36
HELPEN-A,36
VAN-B,35
VROUW-B,35
DAN-B,35
HERT-A,35
TEGEN-A,35
HUIS-A,35
DOOR-A,35
JA-B,34
PAKKEN-A,34
ZEGGEN,34
ZELF-A,34
SCHIETEN-A,33
MISSCHIEN-A,33
STRAAT-BHANDEN,33
BEWAKEN-A,33
WC-DUIM,33
SCHIJNEN-5HAND,33
TIJD-A,33
ROLLEN-1HANDEN,32
HEK-B,31
GRAAG-A,31
BOS-A,31
VERTELLEN-5HANDEN ,31
BUITEN-1HAND,30
KOMEN-A,30
AFSPREKEN-B,30
HERT-B,29
NEE-1HAND,29
BEGRIJPEN-A,29
WINNEN-A,29
PAARD-B,29
ROEPEN-A,28
PROBEREN-A,28
VOLGENDE-A,28
ALLEEN-A,27
VAN-3,27
TWEEDE,27
NU,27
JUIST,27
PLOTS-S>1,27
VOOR-A,27
VLUCHTEN-VHAND,27
IETS-B,27
GEWOON-A,27
VEEL-A,27
C_ 3,27
VROEGER-B,27
C_ 10,27
PROBLEEM-A,26
DENKEN-IK-A,26
KAPOT-SHANDEN,26
OPDUIKEN-A,26
BRIL-A,26
BELGIË-A,26
WILLEN,26
MOETEN,26
VEEL-C,26
VERANDEREN-A,26
AFSLUITEN-GRENS,25
VORIG-A,25
VRAGEN-A,25
TOEVALLIG-A,25
DOOR-B,25
WAAR,24
VERDOMME-VHAND,24
RECHTDOOR,24
NAAR-A ,24
WEG-E,24
VIERDE,23
NAAM-A,23
WEGLOPEN-A,23
PLASSEN-MAN,23
VERSCHIL-A,23
HALEN-A,23
MEISJE-A,23
SCHOOL-A,23
ZON-A,23
ALLES-A,23
ERG-A,23
MEE-BRENGEN,23
ZITTEN-A ,23
OPENEN-A,22
TAFEL-A,22
DAN-D,22
TER-PLAATSE-YHAND,22
GRENS-2XB_RECHT,22
PLAATS-B,22
OMDAT-B,22
GEDULD-A,22
HAAR-HOOFD,22
KIND-A,22
WETEN-NIET-A,22
KORT-A,22
KIJKEN-B ,22
OVER-B,22
ANDERS-A,22
WAT,21
ONTHOUDEN-A,21
VAN-2,21
LIJN-THANDEN,21
WOENSDAG-B,21
C_ 4,21
OCHTEND-B,21
C_ 6,21
PERSOON-B,21
FAMILIE-A,21
DERDE,21
HOREN-A,21
VERTELLEN-5HANDEN,21
GAAN-NAAR,21
POLITIE-1-HOOFD,20
BUITEN-ADEM-A,20
BLIJKBAAR-NEUS,20
KRUISPUNT-B ,20
VINDEN-C,20
WG-5,20
VEST-JAS,20
WANNEER-A,20
OPNIEUW-A,20
VER-1HAND,20
ENVELOP-C,20
